"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-19",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-20",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-21",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-22",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-23",,,,,,,"0.55",,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-24",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-25",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-26",,,,,,,"0.38",,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-27",,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-28",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-04-29",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2016-05-02",,"    3",,"0.34",,,,,,,,,,,,,,,,,,,,,,,,,,
